Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
-------------------------------------------------------------------------------
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220219085558	|
Open Failure	|P1707	|1	|srt_spi_boot_mosi	|	|220219085558	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220219085558	|
Open Failure	|P1953	|1	|bm_spi_flsh_mosi	|	|220219085558	|
Open Failure	|P2021	|1	|P3V3	|	|220219085559	|
Open Failure	|P1393	|1	|PMOD_P3V3_DIDT	|	|220219085559	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220219085608	|
Open Failure	|P1707	|1	|srt_spi_boot_mosi	|	|220219085608	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220219085608	|
Open Failure	|P1953	|1	|bm_spi_flsh_mosi	|	|220219085608	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219085624	|
TestJet Failure	|P784	|1	|FPGA_CPU_MEM_WP_L	|	|220219085634	|
Open Failure	|P1518	|1	|PVCCKRHV_FB	|	|220219090104	|
Open Failure	|P1445	|1	|pmod_pvcckrhv_trim	|	|220219090104	|
Open Failure	|P2078	|1	|P5V	|	|220219090104	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090104	|
Open Failure	|P2078	|1	|P5V	|	|220219090113	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090113	|
Open Failure	|P2078	|1	|P5V	|	|220219090123	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090123	|
Open Failure	|P2078	|1	|P5V	|	|220219090132	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090132	|
Open Failure	|P2078	|1	|P5V	|	|220219090141	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090141	|
Open Failure	|P2078	|1	|P5V	|	|220219090150	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090150	|
Open Failure	|P2078	|1	|P5V	|	|220219090159	|
Open Failure	|P1321	|1	|PMOD_5V0_DIDT	|	|220219090159	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090314	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090323	|
TestJet Failure	|P2077	|1	|m_ab_vref_r	|	|220219090332	|
TestJet Failure	|P2077	|1	|m_ab_vref_r	|	|220219090332	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090332	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090341	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090354	|
TestJet Failure	|P94	|1	|jtag_tms_bdx_1v05	|	|220219090847	|
