Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
-------------------------------------------------------------------------------
Open Failure	|P1567	|1	|SATA0_ACT_L	|	|220129075404	|
Open Failure	|P2047	|1	|SATA0_LED_L	|	|220129075404	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220129075404	|
Open Failure	|P1707	|1	|srt_spi_boot_mosi	|	|220129075404	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220129075404	|
Open Failure	|P1953	|1	|bm_spi_flsh_mosi	|	|220129075404	|
Open Failure	|P1957	|1	|BMC_FAN_CARD_RST	|	|220129075404	|
Open Failure	|P389	|1	|bmc_fan_card_rst_r2	|	|220129075404	|
Open Failure	|P657	|1	|FAN01_PWM_PWR	|	|220129075404	|
Open Failure	|P656	|1	|FAN01_PWM_CON_ZL	|	|220129075404	|
Open Failure	|P661	|1	|FAN4_TACH_ZL	|	|220129075405	|
Open Failure	|P660	|1	|FAN4_TACH_CON	|	|220129075405	|
Open Failure	|P658	|1	|FAN2_TACH_ZL	|	|220129075405	|
Open Failure	|P1982	|1	|FAN2_TACH_CON	|	|220129075405	|
Open Failure	|P737	|1	|FAN1011_PRSNT_L_CON_ZL	|	|220129075405	|
Open Failure	|P736	|1	|FAN1011_PRSNT_L_CON	|	|220129075405	|
Open Failure	|P724	|1	|FAN89_PRSNT_L_CON_ZL	|	|220129075405	|
Open Failure	|P723	|1	|FAN89_PRSNT_L_CON	|	|220129075405	|
Open Failure	|P1465	|1	|pseq_vmon_p12v	|	|220129075405	|
Open Failure	|P1217	|1	|p12v_good	|	|220129075405	|
Open Failure	|P788	|1	|fpga_golden_wp_l	|	|220129075405	|
Open Failure	|P355	|1	|bios_golden_wp_r	|	|220129075405	|
Open Failure	|P675	|1	|FAN10_TACH_ZL	|	|220129075405	|
Open Failure	|P1989	|1	|FAN10_TACH_CON	|	|220129075405	|
Open Failure	|P1327	|1	|PMOD_A2V5_ENABLE	|	|220129075405	|
Open Failure	|P1724	|1	|UNNAMED_3_RES_I2_B	|	|220129075405	|
Open Failure	|P2081	|1	|GND	|j2	|220129075405	|
Open Failure	|P1974	|1	|ddr_a_dimm0_sa1	|	|220129075405	|
Open Failure	|P1567	|1	|SATA0_ACT_L	|	|220129075414	|
Open Failure	|P2047	|1	|SATA0_LED_L	|	|220129075414	|
Open Failure	|P1636	|1	|SPI_BOOT_MOSI	|	|220129075414	|
Open Failure	|P1707	|1	|srt_spi_boot_mosi	|	|220129075414	|
Open Failure	|P657	|1	|FAN01_PWM_PWR	|	|220129075414	|
Open Failure	|P656	|1	|FAN01_PWM_CON_ZL	|	|220129075414	|
Open Failure	|P737	|1	|FAN1011_PRSNT_L_CON_ZL	|	|220129075414	|
