 28-14606-04        Tebo-ICT,  license #BoJie

 Board Outline Contour             INCH units               24-June-2021 16:16

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    1.398      -2.402       0.000
    1.717      -2.402       0.000
    1.727      -2.400       0.000
    1.736      -2.396       0.000
    1.744      -2.390       0.000
    1.751      -2.382       0.000
    1.755      -2.372       0.000
    1.756      -2.362       0.000
    1.756      -1.850       0.000
    1.757      -1.840       0.000
    1.761      -1.831       0.000
    1.767      -1.823       0.000
    1.776      -1.816       0.000
    1.785      -1.812       0.000
    1.795      -1.811       0.000
    2.327      -1.811       0.000
    2.337      -1.812       0.000
    2.346      -1.816       0.000
    2.355      -1.823       0.000
    2.361      -1.831       0.000
    2.365      -1.840       0.000
    2.366      -1.850       0.000
    2.366      -2.362       0.000
    2.367      -2.372       0.000
    2.371      -2.382       0.000
    2.378      -2.390       0.000
    2.386      -2.396       0.000
    2.395      -2.400       0.000
    2.406      -2.402       0.000
    2.606      -2.402       0.000
    2.616      -2.400       0.000
    2.626      -2.396       0.000
    2.634      -2.390       0.000
    2.640      -2.382       0.000
    2.644      -2.372       0.000
    2.646      -2.362       0.000
    2.646      -1.850       0.000
    2.647      -1.840       0.000
    2.651      -1.831       0.000
    2.657      -1.823       0.000
    2.665      -1.816       0.000
    2.675      -1.812       0.000
    2.685      -1.811       0.000
    3.217      -1.811       0.000
    3.227      -1.812       0.000
    3.236      -1.816       0.000
    3.244      -1.823       0.000
    3.251      -1.831       0.000
    3.255      -1.840       0.000
    3.256      -1.850       0.000
    3.256      -2.362       0.000
    3.257      -2.372       0.000
    3.261      -2.382       0.000
    3.267      -2.390       0.000
    3.276      -2.396       0.000
    3.285      -2.400       0.000
    3.295      -2.402       0.000
    3.614      -2.402       0.000
    3.624      -2.400       0.000
    3.634      -2.396       0.000
    3.642      -2.390       0.000
    3.648      -2.382       0.000
    3.652      -2.372       0.000
    3.654      -2.362       0.000
    3.654      -1.850       0.000
    3.655      -1.840       0.000
    3.659      -1.831       0.000
    3.665      -1.823       0.000
    3.673      -1.816       0.000
    3.683      -1.812       0.000
    3.693      -1.811       0.000
    4.224      -1.811       0.000
    4.235      -1.812       0.000
    4.244      -1.816       0.000
    4.252      -1.823       0.000
    4.259      -1.831       0.000
    4.262      -1.840       0.000
    4.264      -1.850       0.000
    4.264      -2.362       0.000
    4.265      -2.372       0.000
    4.269      -2.382       0.000
    4.275      -2.390       0.000
    4.283      -2.396       0.000
    4.293      -2.400       0.000
    4.303      -2.402       0.000
    4.504      -2.402       0.000
    4.514      -2.400       0.000
    4.524      -2.396       0.000
    4.532      -2.390       0.000
    4.538      -2.382       0.000
    4.542      -2.372       0.000
    4.543      -2.362       0.000
    4.543      -1.850       0.000
    4.545      -1.840       0.000
    4.549      -1.831       0.000
    4.555      -1.823       0.000
    4.563      -1.816       0.000
    4.572      -1.812       0.000
    4.583      -1.811       0.000
    5.114      -1.811       0.000
    5.124      -1.812       0.000
    5.134      -1.816       0.000
    5.142      -1.823       0.000
    5.148      -1.831       0.000
    5.152      -1.840       0.000
    5.154      -1.850       0.000
    5.154      -2.362       0.000
    5.155      -2.372       0.000
    5.159      -2.382       0.000
    5.165      -2.390       0.000
    5.173      -2.396       0.000
    5.183      -2.400       0.000
    5.193      -2.402       0.000
    5.512      -2.402       0.000
    5.522      -2.400       0.000
    5.531      -2.396       0.000
    5.540      -2.390       0.000
    5.546      -2.382       0.000
    5.550      -2.372       0.000
    5.551      -2.362       0.000
    5.551      -1.850       0.000
    5.553      -1.840       0.000
    5.556      -1.831       0.000
    5.563      -1.823       0.000
    5.571      -1.816       0.000
    5.580      -1.812       0.000
    5.591      -1.811       0.000
    6.122      -1.811       0.000
    6.132      -1.812       0.000
    6.142      -1.816       0.000
    6.150      -1.823       0.000
    6.156      -1.831       0.000
    6.160      -1.840       0.000
