 28-14606-04        Tebo-ICT,  license #BoJie

 Parts List              6328/6328  Selected Parts             24-June-2021 16:16
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R1            7.4713    7.0631  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R2            1.3613    7.2731  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R3            1.3622    7.4731    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R4            1.3622    7.3731    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R5           14.9863    6.3831  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R6           15.0363    6.3831  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R7            1.3622    7.4231  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R8           13.4913    7.5981    0.0  AA   (B)  'R0603-S0_B', 'R0603-S0_B'
R9            6.9487    7.7069    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R10           0.0163    5.5131   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R11           6.9487    7.7469    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R12           6.8397    7.7069    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R13           6.8397    7.7469    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R14          -0.0837    5.2231   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R15           6.8397    7.7469  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R16           1.0363    7.7281   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R17           5.4698    7.5921  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R18           1.1963    7.5231    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R19           6.8397    7.7069  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R20           7.2547    3.3340  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R21           1.0863    7.7281   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R22           1.3050    7.1750    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R23           4.8750    7.0650   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R24           5.6600    6.6300   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R25           4.8300    7.0650   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R26           5.6150    6.6300   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R27           5.7000    6.8750    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R28           2.4300    8.3280    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R29           7.2750    3.3870  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R30          12.1413    7.5385    0.0  AA   (B)  'R0805-S0_B', 'R0805-S0_B'
R31          11.9813    7.5422  180.0  AA   (B)  'R0805-S0_B', 'R0805-S0_B'
R32           5.2313    8.0001    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R33           5.2313    8.0401    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R34           4.8000    6.6600    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R35           4.7300    6.6600  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R36           5.1163    8.0401    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R37          -0.2787    7.1031    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R38           5.1163    8.0001    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R39           5.2313    8.0001  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R40           5.2313    8.0401  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R41           7.3280    7.8120  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R42           4.7730    6.4710  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R43           4.7730    6.4020   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R44           4.8050    6.5290    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R45           4.7330    6.2450   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R46           4.7330    6.3160  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R47           5.0063    8.1431  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R48           4.9563    8.1431  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R49          -0.2337   -1.1069    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R50           1.3163    7.1731  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R51           4.6930    6.4710   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R52           1.1963    7.2731  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R53           4.6930    6.4020  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R54           1.1963    7.0731  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R55           4.2830    7.9931  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R56           1.1963    7.3731  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R57           4.2830    8.0431  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R58           1.3163    7.1231    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R59           0.8750    6.9591    0.0  AA   (B)  'R0402-HR-GLASS-S0', 'R0402-HR-GLASS-S0'
R60           4.2830    7.9931    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R61          14.4313    2.0731   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R62          14.3913    2.0731   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R63          14.9113    5.8831   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R64          14.8363    6.1081  180.0  AA   (T)  'R0402-S0', 'R0402-S0'
R65           4.2830    8.0431    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R66           0.2313    6.2681  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R67           0.3813    6.2681   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R68           7.2230    7.8080  270.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R69           7.0213    6.5431   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R70           4.7330    6.4020   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R71           4.7330    6.4710  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R72           0.6863    7.7281   90.0  AA   (T)  'R0402-S0', 'R0402-S0'
R73           4.8050    6.4900  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R74           3.9050    7.2700  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R77           6.7500    6.7950    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R78           6.9300    6.5550   90.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R79           1.1963    7.4231    0.0  AA   (T)  'R0402-S0', 'R0402-S0'
R80           6.8000    6.5900   90.0  AA   (B)  'R1206-S0_B', 'R1206-S0_B'
R81           6.7050    6.5900   90.0  AA   (B)  'R1206-S0_B', 'R1206-S0_B'
R82           4.2380    7.3350    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R83           4.9000    7.5962  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R84           4.9000    7.6462  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R85           5.0050    7.5906  270.0  AA   (T)  'R0402-S0', 'R0402-S0'
R86           5.0600    7.9700    0.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
R87           9.9817    8.0988  180.0  AA   (B)  'R0402-S0_B', 'R0402-S0_B'
